compound_id,atom_index,element,x_A,y_A,z_A,d_av_i_A,ECN_i
REP_00002,52,H,-0.619227099518372,-0.8828117562651916,6.190467012311385,1.095892045924598,1.0000001128975071
REP_00002,53,H,-2.0480019330618466,-0.24899263860808096,5.30787202835694,1.099665259315657,1.0000001888816201
REP_00002,54,H,-0.5241453490905803,0.6893955518078126,5.332550492242444,1.0977190023790173,1.0000001613712772
REP_00002,55,H,-3.9590952647710993,1.8728886319483815,3.107867464772204,1.0833827577675563,1.0
REP_00002,56,H,-6.226369020972392,2.822550023835388,2.466377290671175,1.0864559576685053,1.0
REP_00002,57,H,-5.592196354409614,1.5705504750633938,-1.6071594986392097,1.085290062804221,1.0
REP_00002,58,H,-3.3501205995438905,0.6135690120828614,-0.9835856739104684,1.0792294124945547,1.0
REP_00003,0,C,-2.7984875916570155,5.833624817089599,0.9696760656719934,1.0976944545972664,3.004372097995786
REP_00003,1,C,-3.5122592576282905,4.47699970654374,1.1232550108240404,1.0989279144505941,2.008724259398207
REP_00003,2,C,-2.624692021882273,3.4575275009942654,1.8717315014405569,1.1056875181911743,2.0336779148878334
REP_00003,3,O,-1.3563638620987797,3.2328148229978737,1.153400794216554,1.4397681759014251,1.973917539569688
REP_00003,4,C,-1.5129581053287309,2.26072203255499,0.14123803889608988,1.3325016381654005,2.263255773819883
REP_00003,5,O,-2.5563457829617593,1.6284560360786051,-0.15364279458925958,1.2551385795231738,1.0000000280508798
REP_00003,6,C,-0.14794098944666198,2.1035091469945852,-0.5532554265870206,1.0965800057675477,2.007303159252948
REP_00003,7,C,-0.18164270258159734,0.754114997034491,-1.3115253680762382,1.5260413742785979,4.013368253758697
REP_00003,8,O,-1.0728276078946637,0.7689443503896652,-2.463437672269985,1.0327451731723176,1.0035952557857428
REP_00003,9,C,1.2095264260347705,0.40415511077190996,-1.8774787512847546,1.0945703369144337,2.007049263057511
REP_00003,10,C,2.18131654567401,0.13543225594342884,-0.7128944601137993,1.326475718590835,2.179371179216204
REP_00003,11,O,2.76221267933156,0.9916065654302246,-0.016084680810386737,1.247404759833933,1.0
REP_00003,12,O,2.2688770551071538,-1.2800271839332442,-0.5726105270320252,1.4465887791443806,1.9831366211472905
REP_00003,13,C,3.0998120145832635,-1.6249738613524367,0.5932397905723248,1.111062110637499,2.042659205895258
REP_00003,14,C,3.554851196756817,-3.0723203678884485,0.3320118237114164,1.1020084758489201,2.011335881584757
REP_00003,15,C,4.385119433835702,-3.58882971748514,1.5169050317807353,1.0972449382329894,3.0046781203403707
REP_00003,16,C,-0.5521968945902711,-0.3409660062063643,-0.25361826094479845,1.322674801188814,2.106608151550394
REP_00003,17,O,-0.17689134112365135,-0.3543615013584262,0.9376825220570847,1.249092171672753,1.0
REP_00003,18,O,-1.3635981361532064,-1.2927258115581965,-0.9203656157723313,1.4430499270948831,1.9799102206046086
REP_00003,19,C,-1.740390659962704,-2.3781957142178154,0.0039675520107817774,1.105942602857684,2.0338255632714324
REP_00003,20,C,-0.6107621083588698,-3.4264031046419845,0.12245865851167684,1.0988799533854698,2.0086981483486905
REP_00003,21,C,-0.2607638276762381,-4.028109605991133,-1.2516710202338899,1.0977313249260845,3.0044125569441
